appid,cc,currency,initial,final,discount_pct,is_free
235460,us,USD,2999,2999,0,0
240720,us,USD,799,799,0,0
241930,us,USD,1999,1999,0,0
254700,us,USD,1999,1999,0,0
291480,us,,0,0,0,1
295110,us,,0,0,0,1
304050,us,,0,0,0,1
311690,us,USD,1499,1499,0,0
331470,us,,0,0,0,1
349040,us,USD,1999,1499,25,0
365590,us,USD,2999,2999,0,0
376210,us,USD,1999,1999,0,0
383870,us,USD,1999,1999,0,0
389730,us,USD,3999,599,85,0
397900,us,,0,0,0,1
418370,us,USD,1999,1999,0,0
438740,us,,0,0,0,1
447040,us,USD,4999,249,95,0
460930,us,USD,4999,4999,0,0
466240,us,,0,0,0,1
516750,us,USD,1499,1499,0,0
546560,us,USD,5999,5999,0,0
550650,us,,0,0,0,1
582660,us,USD,999,999,0,0
588430,us,,0,0,0,1
