appid,currency,initial,final,discount_pct,is_free
1501750,USD,2999,2999,0,0
1562430,USD,2499,2499,0,0
1659040,USD,2999,2999,0,0
1669980,USD,1099,1099,0,0
1817190,USD,4999,4999,0,0
1824220,USD,3999,3999,0,0
1845910,USD,5999,5999,0,0
1987080,USD,699,699,0,0
2124490,USD,6999,6999,0,0
2161700,USD,5999,5999,0,0
2322560,USD,999,999,0,0
2338770,USD,0,0,0,1
3097560,USD,699,699,0,0
8500,USD,0,0,0,1
10190,USD,1999,1999,0,0
10500,USD,2499,499,80,0
12200,USD,1499,524,65,0
17410,USD,1999,1999,0,0
24960,USD,0,0,0,1
32470,USD,1999,1999,0,0
35450,USD,1999,1999,0,0
40800,USD,1499,1499,0,0
107100,USD,1499,1499,0,0
109600,USD,0,0,0,1
113400,USD,0,0,0,1
115300,USD,3999,3999,0,0
207140,USD,1499,1499,0,0
208090,USD,0,0,0,1
223750,USD,0,0,0,1
228380,USD,2999,2999,0,0
236870,USD,0,0,0,1
239820,USD,999,999,0,0
242860,USD,1999,399,80,0
250320,USD,1499,1499,0,0
265630,USD,0,0,0,1
266840,USD,2999,2999,0,0
310560,USD,0,0,0,1
312530,USD,1299,1299,0,0
322500,USD,2499,2499,0,0
325610,USD,4499,1529,66,0
326460,USD,999,999,0,0
334230,USD,499,499,0,0
383980,USD,2999,2999,0,0
412220,USD,0,0,0,1
418240,USD,3999,3999,0,0
438040,USD,0,0,0,1
447530,USD,1499,1499,0,0
475150,USD,1999,1999,0,0
485510,USD,4999,4999,0,0
532210,USD,0,0,0,1
544810,USD,0,0,0,1
554620,USD,1699,1699,0,0
555160,USD,2499,2499,0,0
611500,USD,0,0,0,1
657200,USD,299,299,0,0
668580,USD,5999,5999,0,0
675010,USD,1999,1999,0,0
692850,USD,3999,3999,0,0
704850,USD,1999,1999,0,0
